X,Y,OBJECTID,KC_Fac_FID,F_Name,F_Type,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType
-122.040984366107,47.5876517593307,55,437,Swimming Area,Swimming Beach,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.038281526432,47.5879425566559,56,439,Tennis Court #2,Tennis Court,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.038069838547,47.5879594705022,57,440,Tennis Court #1,Tennis Court,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.038734896663,47.5875016050218,58,406,Ballfield,Baseball Field,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-121.921218080499,47.6454024625931,59,1813,Ballfield #2,Baseball Field,Tolt River - John MacDonald Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.922062943355,47.6450533128026,60,1861,Grass Soccer Field,Soccer Field,Tolt River - John MacDonald Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.921242842004,47.6452426829536,61,1811,Ballfield #1,Baseball Field,Tolt River - John MacDonald Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.922411085132,47.644105819619,62,1843,Parking Lot,Parking Lot,Tolt River - John MacDonald Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.924267049101,47.6441440264355,63,1844,Parking Lot,Parking Lot,Tolt River - John MacDonald Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.91653846162,47.6406110417222,64,1842,Parking Lot,Parking Lot,Tolt River - John MacDonald Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.251306922617,47.4708684666011,65,779,FD Grass Field #5,Soccer Field,Fort Dent Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City
-122.250898815548,47.469882104288,66,780,FD Grass Field #6,Soccer Field,Fort Dent Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City
-122.250704582572,47.468781598198,67,781,FD Grass Field #7,Soccer Field,Fort Dent Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City
-122.250302710773,47.4678634501123,68,782,FD Grass Field #8,Soccer Field,Fort Dent Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City
-122.247075086442,47.4698262512892,69,778,Fort Dent Field #9,Soccer Field,Fort Dent Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City
-122.250259476454,47.4709577236831,70,751,Parking Lot,Parking Lot,Fort Dent Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City
-122.012872667311,47.5853882752127,71,530,Parking Lot,Parking Lot,Beaver Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.012228925144,47.5857706874097,72,506,Ballfield #1,Baseball Field,Beaver Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.011928259983,47.585768111377,73,507,Ballfield #2,Baseball Field,Beaver Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.004805089412,47.5868367246766,74,544,Open Play Field,Open Play Field,Beaver Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-121.981369027695,47.3575740646457,75,921,Rav Fld #1,Baseball Field,Ravensdale Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.981119323892,47.3569823773123,76,947,Ravensdale All - Weather,Soccer Field,Ravensdale Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.980195673325,47.3562822825895,77,923,Rav Fld #2,Baseball Field,Ravensdale Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.979679749252,47.3558086596792,78,946,Soccer Field #5,Seasonal Soccer Field,Ravensdale Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.979022405917,47.3553722730886,79,922,Rav Fld #3,Baseball Field,Ravensdale Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.978829537007,47.3559082274232,80,945,Soccer Field #2,Seasonal Soccer Field,Ravensdale Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.979555006934,47.355360667656,81,920,Gracie Hansen Community Center,Community Center,Ravensdale Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.785134285252,47.4903448375965,82,1978,Parking Lot,Parking Lot,Si View Park and Community Center,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District
-121.78481018961,47.4906189523407,83,2023,Si View Pool,Swimming Pool,Si View Park and Community Center,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District
-121.784734573238,47.4908068880245,84,1972,Ballfield #1,Baseball Field,Si View Park and Community Center,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District
-121.784128959698,47.4903971777353,85,1988,Tennis Courts,Tennis Court,Si View Park and Community Center,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District
-121.78393814549,47.4903864379035,86,1989,Tennis Court,Tennis Court,Si View Park and Community Center,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District
-121.783712796109,47.4902649918648,87,1973,Ballfield #2,Baseball Field,Si View Park and Community Center,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District
-121.784669722385,47.4901965531786,88,1977,Parking Lot,Parking Lot,Si View Park and Community Center,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District
-121.96165244518,47.1974464300276,89,2173,Football Field,Football Field,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.960703029486,47.1981733041073,90,2156,Upper Ballfield,Baseball Field,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-122.243602431992,47.4945393488273,91,864,Skyway Ballfield #2,Baseball Field,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.24359495568,47.4921520465452,92,894,Skyway Soccer Field,Soccer Field,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.244661661393,47.4920811881908,93,866,Skyway Ballfield #1,Baseball Field,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.244409581196,47.4910985843958,94,919,Multi-Purpose Court,Multi-Purpose Court,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.244342074813,47.4909619255133,95,895,Tennis Court,Tennis Court,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.237257497876,47.7248329018504,96,1180,Parking Lot,Parking Lot,Big Finn Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.2369305231,47.7240055559875,97,1172,Ballfield #4,Baseball Field,Big Finn Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.233443225512,47.7246170791724,98,1181,Parking Lot,Parking Lot,Big Finn Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.23329813324,47.7251124683487,99,1170,Ballfield #1,Baseball Field,Big Finn Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.118849510573,47.4422180752808,100,819,Petro Field #1,Baseball Field,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.118533695787,47.4422227125348,101,816,Petro Field #2,Baseball Field,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.119885008093,47.440882537258,102,837,Parking Lot,Parking Lot,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.118975834278,47.440270126498,103,846,Pet Soccer #1,Soccer Field,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.117903130835,47.4402591365842,104,847,Pet Soccer #2,Soccer Field,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.216376037545,47.3626320260222,105,166,Soccer Field,Soccer Field,North Green River Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.216984182792,47.3616335297677,106,154,Parking Lot,Parking Lot,North Green River Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.226480947805,47.5911481474413,107,607,North Area Parking Area,Parking Lot,Luther Burbank Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City
-122.225544126159,47.5909697656489,108,678,Tennis Court #3,Tennis Court,Luther Burbank Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City
-122.225886636616,47.5863075439437,109,608,South Area Parking Area,Parking Lot,Luther Burbank Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City
-122.117576004035,47.666401424946,110,2119,Soccer Field #03,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.119086844948,47.6656463863975,111,2118,All Weather Soccer Field #2,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.112537432001,47.6611174403549,112,2145,Soccer Field #08,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.110248260922,47.6635673937082,113,2142,Soccer Field #05,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.113676928547,47.6655393212192,114,2140,Grass Soccer Field #10,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.116004128275,47.6619694593166,115,332,Activity Field,Open Play Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.116275146246,47.6600118784547,116,2085,Pea Patch,Community Garden,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.233752173075,47.7253107370742,117,1169,Ballfield #2,Baseball Field,Big Finn Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.233999713792,47.7249703160694,118,1171,Ballfield #3,Baseball Field,Big Finn Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.238435676614,47.7238493370022,119,1185,Soccer Field #5,Soccer Field,Big Finn Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.215732122957,47.705797966376,120,3393,Tennis Court #4,Tennis Court,Juanita Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-121.917237754482,47.6407694545215,121,1812,Mariner Ballfield,Baseball Field,Tolt River - John MacDonald Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.038132981668,47.5873001600588,122,445,Grass Soccer Field,Open Play Field,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.213440966512,47.7060091723311,123,1122,Ballfield #1,Baseball Field,Juanita Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.105805675633,47.6605512263106,124,2075,Model Airplane Field,Model Airplane Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.111619276867,47.6611096710565,125,2144,Soccer Field #07,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.2257719745,47.5909666311768,126,677,Tennis Court #2,Tennis Court,Luther Burbank Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City
-122.225953531307,47.5909689573733,127,676,Tennis Court #1,Tennis Court,Luther Burbank Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City
-122.225124180739,47.5911046615954,128,662,Play Equipment Area,Play Equipment Area,Luther Burbank Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City
-122.225652890778,47.5895827815655,129,686,Picnic Area B,Open Play Field,Luther Burbank Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City
-122.243842634899,47.494697147498,130,865,Skyway Ballfield #3,Baseball Field,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.118503098127,47.4424335471358,131,817,Petro Field #3,Baseball Field,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.118821463952,47.4424412002944,132,818,Petro Field #4,Baseball Field,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.118336535784,47.4409902794385,133,840,Open Play Field,Open Play Field,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.039645259091,47.3768909507742,134,3368,PL Ballfield,Baseball Field,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City
-122.040207557891,47.3748187330112,135,1055,Tennis Court #1,Tennis Court,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City
-122.011934750522,47.5856090710942,136,508,Ballfield #3,Baseball Field,Beaver Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.012527373682,47.5856335299499,137,533,Play Equipment Area,Play Equipment Area,Beaver Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.179318802691,47.7396533967856,138,1168,Soccer Field,Soccer Field,East Norway Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.144515757303,47.5681072918597,139,3359,Soccer Field,Soccer Field,Eastgate Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City
-122.144615372949,47.5675691165655,140,1455,Ballfield,Baseball Field,Eastgate Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City
-122.144882069457,47.5695766927459,141,562,Tennis Court #1,Tennis Court,Eastgate Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City
-122.144704841907,47.5695842508684,142,563,Tennis Court #2,Tennis Court,Eastgate Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City
-121.890118066982,47.5703182374797,143,1999,Ballfield,Baseball Field,Fall City Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.007297153912,47.5777056330098,144,453,Ballfield #1,Baseball Field,Klahanie Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.007345677888,47.5770197371024,145,462,Soccer Field #2,Soccer Field,Klahanie Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.008287800837,47.5768123471196,146,463,Soccer Field #3,Soccer Field,Klahanie Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City
-122.123551715998,47.4933009395836,147,614,Ballfield #1,Baseball Field,Coalfield Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.123307813933,47.4920329802817,148,613,Ballfield #2,Baseball Field,Coalfield Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.122786103696,47.4929566428258,149,629,Seasonal Soccer Field,Seasonal Soccer Field,Coalfield Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.016646423701,47.4216161373455,150,969,Ballfield #1,Baseball Field,Lake Francis Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
